"Ticker","Nome","Negócios","Última (R$)","Variação"
"AMBP3","Ambipar","104.637.600","0,70","-2,78%"
"PETR4","Petrobras","50.214.400","29,94","-0,89%"
"PDGR3","PDG Realty","47.071.000","0,01","+0,00%"
"RAIZ4","Raízen","42.512.400","0,87","-1,14%"
"BBAS3","Banco do Brasil","31.221.700","20,61","-2,74%"
"BBDC4","Banco Bradesco","28.431.400","16,85","-1,35%"
"B3SA3","B3","27.120.300","12,60","-1,49%"
"ASAI3","Assaí","24.917.700","8,22","-1,79%"
"EQTL3","Equatorial Energia","24.800.700","35,25","-0,23%"
"CSAN3","Cosan","24.642.000","5,87","-0,34%"
"COGN3","Cogna","24.569.100","3,02","-0,98%"
"VALE3","Vale","22.970.400","58,87","-0,41%"
"ITUB4","Itaú Unibanco","22.573.600","37,14","-0,11%"
"AZUL4","Azul","21.684.800","1,10","+0,92%"
"ABEV3","Ambev","21.477.200","11,81","+0,77%"
"MGLU3","Magazine Luiza","19.885.300","8,81","-1,78%"
"ITSA4","Itaúsa","17.660.200","10,95","-0,27%"
"CSNA3","Siderúrgica Nacional","14.064.900","7,91","-6,06%"
"VAMO3","Grupo Vamos","13.753.700","2,95","-1,99%"
"CVCB3","CVC","13.607.400","1,70","-2,30%"
"PCAR3","Grupo Pão de Açúcar","13.575.700","3,96","-0,25%"
"PETR3","Petrobras","13.162.700","31,91","-0,75%"
"BRAV3","3R Petroleum","12.953.500","15,63","-2,50%"
"RAIL3","Rumo","12.570.700","15,53","+0,26%"
"LREN3","Lojas Renner","12.508.900","13,98","+1,01%"
"DIRR3","Direcional","11.981.400","14,66","-1,81%"
"CPLE6","Copel","11.855.800","12,31","-0,40%"
"MRVE3","MRV","11.554.900","6,26","+0,16%"
"MBRF3","Marfrig","11.308.000","16,58","-1,37%"
"HAPV3","Hapvida","11.279.600","33,71","-6,02%"
"VBBR3","Vibra Energia","11.088.400","23,48","-0,68%"
"USIM5","Usiminas","10.883.900","4,25","-3,19%"
"MOTV3","Motiva","10.795.700","13,94","-0,43%"
"WEGE3","WEG","10.273.600","36,69","-1,37%"
"PRIO3","PetroRio","10.143.700","36,02","-3,38%"
"GGBR4","Gerdau","9.632.200","17,35","-1,25%"
"TIMS3","TIM","9.621.700","22,50","-1,23%"
"RENT3","Localiza","9.072.400","35,80","-2,48%"
"UGPA3","Ultrapar","8.951.100","21,25","-2,03%"
"BEEF3","Minerva","8.261.800","6,53","+1,08%"
"POMO4","Marcopolo","8.141.600","8,44","-0,94%"
"BPAC11","Banco BTG Pactual","8.016.800","47,14","-0,57%"
"NATU3","NATURA","7.665.100","8,40","-0,36%"
"CMIN3","CSN Mineração","7.264.900","5,51","-3,67%"
"CMIG4","Cemig","7.098.500","10,57","+0,19%"
"BRKM5","Braskem","7.021.000","6,27","-3,83%"
"ALPA4","Alpargatas","6.996.400","9,50","+1,60%"
"ENEV3","Eneva","6.938.000","16,42","-0,55%"
"AURE3","Auren Energia","6.816.400","10,65","-0,75%"
"RADL3","RaiaDrogasil","6.814.300","18,67","-1,16%"
"CYRE3","Cyrela","6.329.700","29,02","-0,62%"
"CBAV3","CBA","6.011.900","4,38","-4,78%"
"MULT3","Multiplan","5.812.800","27,10","-0,99%"
"ELET3","Eletrobras","5.735.500","51,95","-0,12%"
"RDOR3","Rede D'Or","5.600.800","39,79","+0,00%"
"BBDC3","Banco Bradesco","5.599.300","14,38","-1,44%"
"KLBN11","Klabin","5.579.400","17,37","-0,86%"
"SUZB3","Suzano","5.447.200","48,19","+1,05%"
"RECV3","PetroRecôncavo","5.100.300","11,81","-3,04%"
"SIMH3","Simpar","4.941.800","4,33","-3,13%"
"JHSF3","JHSF","4.805.100","5,95","-2,30%"
"PETZ3","Petz","4.792.800","3,65","-0,54%"
"MOVI3","Movida","4.736.800","7,86","-1,87%"
"YDUQ3","YDUQS","4.671.000","11,55","-1,03%"
"LWSA3","Locaweb","4.658.500","4,03","-2,42%"
"SANB11","Banco Santander","4.464.200","27,70","-2,15%"
"CEAB3","C&A","4.391.500","15,14","-0,39%"
"VIVT3","Vivo","4.372.300","32,36","+0,06%"
"GOAU4","Metalúrgica Gerdau","4.279.800","10,04","-0,59%"
"DXCO3","Dexco","4.225.700","5,00","-3,10%"
"AZTE3","AZT Energia","4.201.900","0,40","+0,00%"
"SRNA3","Serena Energia","4.182.700","12,44","+0,00%"
"HBSA3","Hidrovias do Brasil","4.167.300","3,70","+1,37%"
"AZEV4","Azevedo & Travassos","4.144.900","0,39","-2,50%"
"ONCO3","Oncoclínicas","4.141.100","2,50","+4,60%"
